ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説
1,"文書処理ソフトの画面最上部にあり、開いているファイル名が表示される場所はどれか。",クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,2,"現在開いているファイルの名前が中央に表示されます。保存前は「文書1」などの仮の名前が表示されます。"
17,"文書の内容を一目でわかるように簡潔にまとめた、見出しの部分は何。",件名,頭語,結語,本文,1,"何についての用件であるかを、相手が瞬時に把握できるように要約したタイトルです。"
18,"その文書が誰に向けられたものかを示す宛名の部分を何というか。",受信者名,発信者名,文書番号,件名,1,"文書を受け取る相手の会社名、部署名、役職名、氏名などの情報です。"
19,"「拝啓」などのように、本文に入る前の定型的なあいさつを何というか。",頭語,結語,前文,主文,1,"手紙形式の文書の冒頭に置き、相手への敬意を表して書き始める決まり文句です。"
20,"「敬具」などのように、頭語と対になって使われる結びの言葉は何。",結語,頭語,末文,別記,1,"頭語とセットで使用し、文書の最後を丁寧に締めくくる言葉です。"
21,"「文書整理や文書の確認に必要な組織名や年度別ナンバー」という説明に合うのはどれか。",文書番号,発信者名,件名,受信者名,1,"組織が公式に出した文書として、履歴を追跡・管理するための符号です。"
22,"「誰に向けた文書であるかを示す宛名」という説明に合う語句はどれか。",受信者名,発信者名,件名,文書番号,1,"文書の送付先であり、左上の最上段に記載される情報の名称です。"
23,"「その文書を作成し、発行した責任者の氏名」という説明に合う語句は何。",発信者名,受信者名,件名,文書番号,1,"文書の権利と責任の所在を明らかにするため、右上に日付とともに記載される項目の名称です。"
24,"「文書の内容を要約して表現するもの」という説明に合う語句はどれか。",件名,頭語,結語,本文,1,"多忙なビジネスにおいて、本文を読まなくても内容が予測できるように中央に配置されるタイトルの名称です。"
25,"「文書の書き出しと要件に入る前のあいさつ文」という説明に合う語句は何。",頭語,結語,本文,別記,1,"用件にいきなり入るのを避け、礼儀として添えられる導入の言葉の名称です。"
26,"「頭語と対になって使われる、文末の結びの言葉」という説明に合う語句は何。",結語,頭語,末文,主文,1,"文書がここで完結していることを示し、相手に敬意を払って終わらせる語句の名称です。"
27,"時候の挨拶において、「1月」に使用するのが適切な言葉はどれか。",新春の候,春暖の候,初夏の候,晩夏の候,1,"「新年あけましておめでとうございます」というニュアンスを含む、1月の代表的な挨拶です。"
28,"時候の挨拶において、「2月」に使用するのが適切な言葉はどれか。",立春の候,新春の候,向暑の候,師走の候,1,"二十四節気の「立春（2月4日ごろ）」を過ぎた、春の気配が始まる時期の言葉です。"
29,"時候の挨拶において、「3月」に使用するのが適切な言葉はどれか。",早春の候,春暖の候,秋冷の候,新涼の候,1,"冬の寒さが和らぎ、春が近づいてきた3月の時期に適した挨拶です。"
30,"時候の挨拶において、「4月」に使用するのが適切な言葉はどれか。",春暖の候,新春の候,初夏の候,師走の候,1,"春本番の暖かさを感じる4月に、広く使われる挨拶です。"
31,"時候の挨拶において、「5月」に使用するのが適切な言葉はどれか。",初夏の候,春暖の候,秋冷の候,盛夏の候,1,"新緑の美しさと、夏の始まりを感じさせる5月に適した言葉です。"
32,"時候の挨拶において、「6月」に使用するのが適切な言葉はどれか。",向暑の候,初夏の候,秋冷の候,晩夏の候,1,"日増しに暑くなってくる6月の、梅雨から夏へ向かう時期の言葉です。"
33,"時候の挨拶において、「7月」に使用するのが適切な言葉はどれか。",盛夏の候,晩夏の候,向寒の候,新涼の候,1,"一年で最も暑さが厳しい、真夏の7月を象徴する挨拶です。"
34,"時候の挨拶において、「8月」に使用するのが適切な言葉はどれか。",晩夏の候,盛夏の候,初夏の候,春暖の候,1,"立秋を過ぎ、夏の終わりを感じ始める8月の言葉です。"
35,"時候の挨拶において、「9月」に使用するのが適切な言葉はどれか。",新涼の候,晩夏の候,秋冷の候,師走の候,1,"残暑が引き、涼しい風が吹き始める9月の初秋に適した挨拶です。"
36,"時候の挨拶において、「10月」に使用するのが適切な言葉はどれか。",秋冷の候,初夏の候,春暖の候,師走の候,1,"秋の深まりとともに、朝晩の冷え込みが強まる10月にふさわしい挨拶です。"
37,"時候の挨拶において、「11月」に使用するのが適切な言葉はどれか。",向寒の候,秋冷の候,立春の候,晩夏の候,1,"冬の寒さがいよいよ間近に迫ってくる、11月の晩秋の言葉です。"
38,"時候の挨拶において、「12月」に使用するのが適切な言葉はどれか。",師走の候,新春の候,晩夏の候,秋冷の候,1,"1年を締めくくる忙しい時期を指す「師走」という言葉を使った、12月の挨拶です。"
39,"プレゼンテーションソフトの画面上部で、クリックしてリボンを切り替える場所は何。",タブ,アウトラインペイン,プレースホルダー,スライド番号,1,"ホーム、挿入、アニメーションなど、目的の機能を呼び出すための見出しとなる切り替えボタンです。"
40,"スライドの構成（文字）が一覧表示され、全体の内容を確認できる領域はどれか。",アウトラインペイン,タブ,プレースホルダー,スライド番号,1,"スライド1枚ずつの画像ではなく、中のテキスト情報を階層構造で並べた作業領域です。"
41,"現在表示しているスライドが、全体の中で何枚目かを示す画面左下の表示は何。",スライド番号,ズームスライダー,プレースホルダー,タブ,1,"プレゼン全体のボリュームの中で、現在どの位置にいるかを把握するための数字です。"
42,"スライド内に文字や画像を入れるためにあらかじめ用意された点線の枠を何というか。",プレースホルダー,アウトラインペイン,タブ,ズームスライダー,1,"「クリックしてタイトルを入力」などの指示が書かれた、中身を置くための専用の場所です。"
43,"画面右下にあり、スライドの表示倍率を変更する機能はどれか。",ズームスライダー,スライド番号,プレースホルダー,タブ,1,"資料の作成中に、画面の大きさを細かく調整するためのスライダバーです。"
44,"プレゼンテーションの準備において、最初に行うべき最も重要なことは何。",目的の決定,会場の確認,スライド作成,リハーサル,1,"誰に対して、何のために発表し、どんな結果を得たいのかを明確にすることが全ての出発点です。"
45,"プレゼンテーションの本番前に、最初から最後まで通して行う練習を何というか。",リハーサル,プランニング,プレゼン,分析,1,"声の大きさ、動作、スライドのタイミング、時間配分などを確認する最終練習です。"
46,"文字や画像を表示させるタイミングや、動きをつける視覚的な効果を何というか。",アニメーション効果,スライドショー,フォント設定,1,"スライド上の個別の要素に「現れる」「消える」などの動きを与え、聴衆の注目を集める機能です。"
47,"作成したスライドを1枚ずつ大画面で表示する、発表本番のモードは何。",スライドショー,アニメーション,アウトライン,1,"作成メニューを隠し、聴衆に見せるための完成資料を全画面で映し出す形式です。"
48,"自分自身の発表内容や話し方を、自分自身の視点で振り返る評価を何というか。",自己評価,相互評価,客観評価,1,"自分の発表を自ら採点・分析することです。"
49,"発表を聞いた他者（クラスメイト等）と、互いに評価し合うことを何というか。",相互評価,自己評価,絶対評価,1,"自分だけでは気づけない癖や不明瞭さを、聞き手の意見から学ぶ評価方法です。"
50,"時候の挨拶「初夏の候」を使うのが適切なのは何月か。",5月,4月,10月,12月,1,"新緑が美しく、夏のような日差しが出始める5月の時期に適しています。"
51,"時候の挨拶「秋冷の候」を使うのが適切なのは何月か。",10月,5月,1月,8月,1,"秋が深まり、冷たい風や空気を感じるようになる10月の時期に適しています。"
52,"時候の挨拶「春暖の候」を使うのが適切なのは何月か。",4月,10月,1月,12月,1,"桜の季節を迎え、春の暖かさが本格的になる4月にふさわしい言葉です。"
53,"時候の挨拶「師走の候」を使うのが適切なのは何月か。",12月,1月,4月,8月,1,"一年の最後の月である12月を、日本古来の呼び方「師走」で表現した挨拶です。"
54,"時候の挨拶「新春の候」を使うのが適切なのは何月か。",1月,4月,10月,12月,1,"新年を迎え、新しい春が訪れたことを祝う1月の代表的な言葉です。"
55,"時候の挨拶「晩夏の候」を使うのが適切なのは何月か。",8月,5月,10月,12月,1,"夏の終わりの名残惜しさを感じる8月に使われる言葉です。"
56,"Wordで、文字を左右方向の中央に揃えて配置する機能を何というか。",中央揃え,左寄せ,右寄せ,1,"タイトルや表の中の文字を、左右の余白から均等な位置に配置する機能です。"
57,"ビジネス文書の最後に書く「以上」という言葉は、何を示すために使われるか。",文書の終わりを示す,宛名を示す,件名を示す,1,"これ以降に記載事項や「別記」の内容がないことを、相手に明確に伝えるための停止符号です。"
58,"Wordで、特定の文字を別の文字に一括で書き換える機能を何というか。",置換,検索,削除,1,"文書全体の中から指定したキーワードを探し、一気に別の文字に変更する機能です。"
59,"プレゼンのスライド切り替え時に、フェードなどの動きをつけながらページを移す効果は何。",画面切り替え効果,アニメーション,デザインテーマ,1,"スライドが切り替わる際の、「めくる」「溶ける」などの演出効果です。"
60,"「拝啓」から始まるビジネス文書を締めくくるのに適した言葉は何。",敬具,草々,拝具,1,"頭語（書き出し）と結語（結び）には相性があり、拝啓には敬具をセットで使います。"

61,"同じ書体でデザインされた文字の集合体のことを、一般に何と呼ぶか。",スタイル,フォント,テンプレート,テーマ,2,"同じデザインの文字セットをフォントといいます。"
62,"「短文」で「目立たせたい」箇所に適した、力強いイメージのフォント系統はどれか。",明朝体,ゴシック体,ポップ体,行書体,2,"視認性の高いゴシック体が推奨されます。"
63,"文章が長い（長文）場合に、読みやすさ（可読性）を優先して使われるフォントはどれか。",ゴシック体,明朝体,ポップ体,手書き風,2,"目が疲れにくい明朝体が適しています。"
64,"ゴシック体やポップ体などのフォントを「長文」に使うとどうなりやすいか。",読みやすくなる,目が疲れる,上品に見える,高級感が出る,2,"文字の角が目に刺激を与えるため疲れやすくなります。"
65,"文字の形状に関わらず、すべての文字の幅を一定に揃えたフォントを何というか。",等幅フォント,プロポーショナルフォント,固定フォント,デザインフォント,1,"文字間隔が一定のものを指します。"
66,"文字の形状に合わせて、一文字ずつの幅が最適に調整されているフォントを何というか。",等幅フォント,プロポーショナルフォント,自動フォント,可変フォント,2,"見た目が自然に詰まるフォントです。"
67,"ビジネス文書において、本文で書き漏らしたことを最後に付け加える「追伸」の別名は。 ",頭語,結語,追って書き,別記,3,"「追って書き」として補足します。"
68,"時候の挨拶において、「立春」や「新春」が使われる時期はいつか。",1月〜2月,4月〜5月,7月〜8月,10月〜11月,1,"新春は1月、立春は2月に使われます。"
69,"時候の挨拶において、「早春」や「梅花」の候を使用するのが適切な月は。 ",1月,2月〜3月,5月,9月,2,"春の兆しが見える時期の挨拶です。"
70,"時候の挨拶において、「初秋」や「新涼」の候を使用するのが適切な月は。 ",4月,6月,9月,11月,3,"秋の始まりの9月に適しています。"
71,"プレゼンテーションの作成手順として、スライド作成（ア）よりも前に行うべきことは。 ",何をどのように伝えたいか考える,画面切り替え効果をつける,アニメーションをつける,印刷する,1,"まず構成を練ることが最優先です。"
72,"スライド全体に「フェード」や「ワイプ」などの動きをつける機能は何のタブにあるか。",ホーム,挿入,画面切り替え,アニメーション,3,"スライドの繋ぎ目は「画面切り替え」です。"
73,"スライド内の「個別の文字や図」に動きをつける設定は何のタブで行うか。",ホーム,挿入,画面切り替え,アニメーション,4,"要素ごとの動きは「アニメーション」です。"
74,"プレゼンテーションを活用する場面として、レポートで挙げられている例はどれか。",成果の報告,個人日記の作成,家計簿の記録,ゲームのプレイ,1,"企画アピールや商品販売などが該当します。"
75,"スライド作成の注意点「ポイントを絞る」において、意識すべきことは何か。",詳しく全て書く,シンプルに端的な言葉で表現する,文字をできるだけ小さくする,2,"一目で伝わる簡潔さが重要です。"
76,"スライド作成時に「根拠を示す」ために、データの末尾に入れるべきものは何か。",アニメーション,出典（どこからのデータか）,自分の感想,2,"情報の信頼性を高めるため出典を明示します。"
77,"プレゼンテーション本番、会場に到着してまず最初に行うべき確認は何か。",自分の服装,配布資料の枚数,プロジェクター等の機器の動作,3,"技術トラブルを避けるための必須作業です。"
78,"プレゼンテーションにおいて、避けるべき「話し手の態度」はどれか。",聴衆と視線を合わせる,背筋を伸ばして立つ,体が左右にぐらぐら動く,3,"落ち着きのない動きは信頼を損ないます。"
79,"プレゼンテーション中、話し手が意識して視線を送るべき対象はどれか。",原稿（メモ）,天井や床,聴衆（聞き手）,3,"相手の反応を見ることが大切です。"
80,"学習の到達状況を評価するための「評価基準をまとめた表」を何と呼ぶか。",シラバス,ルーブリック,ポートフォリオ,マニュアル,2,"客観的な評価指標の表を指します。"
81,"他者のプレゼンを評価する（相互評価）ことで得られる、自分へのメリットは何か。",相手を批判できる,自分の発表の曖昧な点に気づける,発表時間を短縮できる,2,"他者を見ることで自分の課題も発見できます。"
82,"プレゼンテーションにおいて「スライド1枚に盛り込むメッセージ数」はいくつが良いか。",できるだけ多く,1枚に1メッセージ,3つ以上,2,"詰め込みすぎないのが基本です。"
83,"「晩夏の候」や「処暑の候」を使用するのが適切な月はどれか。",5月,8月,10月,12月,2,"夏の終わりの8月に適した表現です。"
84,"ビジネス文書の最後（別記の後）に、必ず右詰めで記載する項目はどれか。",文書番号,以上,件名,2,"内容がここで終わりであることを示す定型句です。"
85,"プレゼンテーションで「早口」になるのを防ぐための最も有効な対策は。 ",原稿を暗記する,リハーサルを繰り返す,文字を読み上げる,2,"練習により適切なペースを身につけます。"
