ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説
13,"Wordのリボンにおいて、新しく表や図形、画像を文書内に追加したいときに使うタブはどれか。","ホーム","レイアウト","表示","挿入",,4,"外部の要素や図形を取り込むための専用タブです。"
14,"Wordのレイアウトタブにあり、印刷の向きや用紙サイズ、余白などを設定するグループはどれか。","フォント","段落","ページ設定","挿入",,3,"紙面全体の構成や印刷に関わる設定を行う場所です。"
15,"文書内で図や表、画像を活用したい場合に選択すべきタブの名称はどれか。","ファイル","表示","挿入","デザイン",,3,"図解やビジュアル要素を追加するためのタブです。"
16,"ビジネス文書の右上に記載される、文書を管理・照会するための番号を何と呼ぶか。","発信者名","文書番号","受信者名","件名",,2,"組織内で文書を整理するために付与されるシーケンスナンバーです。"
17,"ビジネス文書において、発行した年月日を正しく記載する項目を何と呼ぶか。","前文","発信日付","文書番号","件名",,2,"いつ出された文書かを明確にするための日付です。"
18,"ビジネス文書の左上にあり、相手の住所や氏名、敬称などを記載する部分を何と呼ぶか。","発信者名","件名","受信者名","文書番号",,3,"文書を送る対象となる相手の情報を記載する場所です。"
19,"ビジネス文書において、内容に責任を持つ発行側の組織名や氏名を記載する部分を何と呼ぶか。","受信者名","発信者名","件名","文書番号",,2,"文書の発行元を証明する、名前や印影が入る場所です。"
20,"ビジネス文書において、内容を一目で把握できるように要約したタイトルの部分を何と呼ぶか。","件名","頭語","結語","主文",,1,"標題や標記とも呼ばれ、主文の内容を短く表します。"
21,"ビジネス文書において、本題に入る前の挨拶として「はじめまして」等に当たる言葉はどれか。","結語","頭語","主文","末文",,2,"文書の書き出しに置く挨拶の言葉です。"
22,"ビジネス文書において、頭語に対応する締めくくりの言葉（敬具など）を何と呼ぶか。","前文","件名","結語","追って書き",,3,"文書を礼儀正しく閉じるための言葉です。"
23,"ビジネス文書において、通常の場合に使われる「拝啓」という頭語に合わせる結語はどれか。","敬白","草々","以上","敬具",,4,"最も標準的で汎用性の高い組み合わせです。"
24,"特に改まった内容の文書で、頭語に「謹啓」を使った場合に使用する結語はどれか。","敬具","草々","敬白","さようなら",,3,"非常に丁寧な形式において対になる表現です。"
25,"親しい間柄などで挨拶を省く際に使う「前略」という頭語に合わせる結語はどれか。","敬白","敬具","草々","以上",,3,"略儀であることを示す結びの言葉です。"
26,"緊急の用件で「急啓」という頭語を使って書き始めた場合に合わせる結語はどれか。","草々","敬白","以上","敬具",,4,"急ぎであっても丁寧な結びを用います。"
27,"時候の挨拶において、1月の文書に使用するのに最も適切な表現はどれか。","春暖の候","盛夏の候","初秋の候","新春の候",,4,"新しい年が始まる1月の挨拶です。"
28,"時候の挨拶において、2月の文書に使用するのに最も適切な表現はどれか。","梅花の候","早春の候","向寒の候","秋冷の候",,1,"梅の花がほころび始める2月の挨拶です。"
29,"時候の挨拶において、3月の文書に使用するのに最も適切な表現はどれか。","師走の候","早春の候","初夏の候","青葉の候",,2,"春の訪れを感じる3月の挨拶です。"
30,"時候の挨拶において、4月の文書に使用するのに最も適切な表現はどれか。","晩夏の候","新春の候","春暖の候","初秋の候",,3,"暖かな春の陽気を感じる4月の挨拶です。"
32,"時候の挨拶において、6月の文書に使用するのに最も適切な表現はどれか。","春暖の候","新春の候","初夏の候","盛夏の候",,3,"夏の始まりを感じる6月の挨拶です。"
33,"時候の挨拶において、7月の文書に使用するのに最も適切な表現はどれか。","晩夏の候","盛夏の候","秋冷の候","向寒の候",,2,"夏真っ盛りの7月の挨拶です。"
34,"時候の挨拶において、8月の文書に使用するのに最も適切な表現はどれか。","早春の候","新春の候","晩夏の候","梅花の候",,3,"夏の終わりを感じる8月の挨拶です。"
35,"時候の挨拶において、9月の文書に使用するのに最も適切な表現はどれか。","春暖の候","盛夏の候","師走の候","初秋の候",,4,"秋の気配が始まる9月の挨拶です。"
36,"時候の挨拶において、10月の文書に使用するのに最も適切な表現はどれか。","新春の候","秋冷の候","初夏の候","早春の候",,2,"秋が深まり涼しくなる10月の挨拶です。"
38,"時候の挨拶において、12月の文書に使用するのに最も適切な表現はどれか。","初秋の候","晩夏の候","師走の候","早春の候",,3,"一年の終わりを意味する12月の挨拶です。"
39,"プレゼンテーション本番までの流れにおいて、最初に行うべきことはどれか。","対象者の分析","資料の作成","目的を決める","リハーサル",,3,"何のための発表かを明確にすることから始めます。"
40,"プレゼンの準備で、聞き手がどのような人たちかをあらかじめ調査・把握することを何と呼ぶか。","目標の設定","対象者の分析","質問の予想","会場の確認",,2,"相手に合わせて内容を最適化するために必要な工程です。"
41,"プレゼンテーションにおいて、話をする順番や構成を組み立てる際に重要視すべきことはどれか。","文字の色","フォントサイズ","目標達成のための展開","アニメの種類",,3,"聞き手を納得させ、目標を達成するための論理構成が必要です。"
42,"プレゼンテーションにおいて、言葉だけでなく視覚的に相手へ伝えるために作成するものはどれか。","リハーサル","質問集","資料","会場図",,3,"スライドなどの視覚補助資料のことです。"
43,"プレゼン当日の質疑応答に備えて、どのようなことを聞かれるか事前に考えておく工程はどれか。","目的設定","質問を予想する","会場確認","リハーサル",,2,"想定される問いへの回答を用意し、対応力を高めます。"
44,"プレゼン当日にトラブルが起きないよう、プロジェクターや音響の動作を確認することを何と呼ぶか。","資料作成","目標設定","会場や機器の確認","対象者分析",,3,"物理的な準備が整っているかをチェックする工程です。"
45,"プレゼンの最終確認として、最初から最後まで本番と同じようにやってみる練習を何と呼ぶか。","資料作成","目的設定","リハーサル","質問予想",,3,"時間配分や話し方の最終的な仕上げです。"
46,"プレゼンテーションにおいて、目標達成のために「どのような方法で伝えるか」を決めることを何と呼ぶか。","会場確認","自己評価","方法の決定","フォントの修飾",,3,"最も効果的な伝え方のスタイルを選ぶことです。"
47,"パワーポイントにおいて、文字や画像などで構成された各ページを1枚ずつ順番に表示する機能を何というか。","レイアウト","アニメーション","修飾","スライドショー",,4,"作成した内容をフル画面で提示する機能です。"
48,"スライドを作成する際、まず初めに文字や図形の基本的な配置パターンを選択することを何と呼ぶか。","書式設定","アニメーション","レイアウトの選択","リハーサル",,3,"効率よくスライドを組むための雛形を選ぶことです。"
49,"入力した文字の色や書体、サイズなどを変更して見栄えを良くすることを何というか。","抽出","集計","修飾","配置",,3,"読みやすく強調ポイントが伝わるようにデザインすることです。"
50,"パワーポイントにおいて、スライド上に文字の大きさを数値で指定する項目はどれか。","フォントの種類","フォントサイズ","フォントの色","字下げ",,2,"読みやすさを左右する文字の大きさの設定です。"
51,"スライド内の文字や画像に対して、表示されるタイミングや動きの演出をつける機能を何というか。","修飾","レイアウト","スライドショー","アニメーション効果",,4,"視覚的な変化で聞き手の注目を引くための効果です。"
53,"ビジネス文書において、文書の内容に責任を持つ者の名前を記載し、組織名や個人名を併記する部分の定義はどれか。","受信者名","件名","発信者名","文書番号",,3,"誰がその内容に責任を負っているかを明示する箇所です。"
54,"ビジネス文書において、宛先となる相手の所在地や企業名、氏名、敬称などを総称して何と呼ぶか。","発信者名","件名","文書番号","受信者名",,4,"送付先の情報を正しくまとめた部分の名称です。"
55,"ビジネス文書において、要件に入る前の挨拶として「時候の挨拶」や「繁栄を祝う挨拶」を記載する部分はどれか。","主文","末文","結語","前文",,4,"本題の前に置く、礼儀としての挨拶文です。"
56,"ビジネス文書において、最も重要な「要件」を述べる、文書の中心となる部分を何と呼ぶか。","前文","末文","件名","主文",,4,"その文書を出す目的そのものが書かれる主要部分です。"
57,"ビジネス文書において、主文の趣旨をまとめたり、相手の繁栄を祈ったりして締めくくる文章を何というか。","前文","末文","頭語","追って書き",,2,"最後を簡潔に、かつ礼儀正しくまとめる文です。"
58,"法人や官庁、組織などに対して文書を出す場合に、名前の後に添える正しい敬称はどれか。","様","先生","各位","御中",,4,"組織全体や部署宛てに用いる敬称です。"
59,"同じ内容の文書を、多数の人に対して同時に出す際に使用する敬称はどれか。","様","御中","各位","殿",,3,"「皆様がた」という意味で使われる敬称です。"
60,"パワーポイントの画面構成において、スライドの階層構造や全体の構成を確認できるエリアを何と呼ぶか。","ステータスバー","アウトラインペイン","プレースホルダー","ズームスライダー",,2,"スライド内のテキストの構成を一覧で確認できる場所です。"
61,"スライド上にあり、文字や図形などを入力するためにあらかじめ用意されている枠を何と呼ぶか。","タイトルバー","アウトラインペイン","プレースホルダー","スクロールバー",,3,"文字や画像を配置するための「場所取り」の枠のことです。"
62,"プレゼンテーションの作成手順において、スライドを作り始める前に行うべき最も重要なことはどれか。","スライドのデザインを決める","何をどのように伝えたいのかを考える","アニメーションの効果をつける","フォントサイズを最大にする",,2,"目的や構成を練ることが最初の重要なステップです。"
63,"パワーポイントで、新しいスライドを追加したりレイアウトを変更したりする際に使用するタブはどれか。","表示","デザイン","挿入","ホーム",,4,"スライドの追加や基本構成の変更を行う際に使います。"
64,"スライド内に写真、グラフ、リンクなどを新しく取り込みたい場合に使用するタブはどれか。","デザイン","挿入","ホーム","アニメーション",,2,"ビジュアル要素や外部データを追加するためのタブです。"
65,"プレゼンテーションソフトウェアにおいて、あるスライドから次のスライドへ移る時の動きを設定するタブはどれか。","挿入","アニメーション","ホーム","画面切り替え",,4,"ページごとの切り替わり方を演出するための設定です。"
66,"スライド内の特定の文字や図形に対して、個別に動きをつけたり強調したりする際に使うタブはどれか。","ホーム","挿入","画面切り替え","アニメーション",,4,"オブジェクト単位でモーションを設定するためのタブです。"
67,"ビジネス文書の「前付け」部分において、文書の整理や確認のために必要な、年度やシーケンス番号を含む項目はどれか。","発信日付","文書番号","発信者名","受信者名",,2,"文書管理を効率的に行うための識別子です。"
68,"手紙の形式において、急ぎの場合に使われる頭語「急啓」に対応する結語として正しいものはどれか。","草々","敬白","以上","敬具",,4,"急ぎの要件を伝える際も、丁寧な結びが必要です。"
69,"非常に改まった手紙のやり取りにおいて、頭語に「謹啓」を用いた場合の正しい結語はどれか。","敬具","草々","敬白","かしこ",,3,"敬意が高い組み合わせとして対になります。"
70,"時候の挨拶において、2月に使用される「梅花の候」と並んでよく使われる、冬が深まる11月の表現はどれか。","新春の候","春暖の候","盛夏の候","向寒の候",,4,"冬の本格的な寒さが近づく時期の挨拶です。"
71,"プレゼンテーションにおいて、相手の反応や結果を客観的に判断するための「評価の仕組み」に不可欠なものはどれか。","発表者の熱意","スライドの見た目","共通の評価基準","発表の時間の長さ",,3,"公平に判断するための物差しとなる基準が必要です。"
72,"複数の人がお互いにプレゼンテーションを行い、お互いの内容を評価し合う手法を何と呼ぶか。","自己評価","相互評価","相対評価","絶対評価",,2,"自分以外の視点から客観的な意見を得るための方法です。"
31,"時候の挨拶において、5月の文書に使用するのに最も適切な表現はどれか。","青葉の候","師走の候","向寒の候","梅花の候",,1,"新緑がまぶしい5月の挨拶です。"
37,"時候の挨拶において、11月の文書に使用するのに最も適切な表現はどれか.","向寒の候","青葉の候","盛夏の候","梅花の候",,1,"冬の寒さが近づく11月の挨拶です。"
