26,色の三原色とは何色か。,赤・緑・青,シアン・マゼンタ・イエロー,赤・青・黄,赤・緑・黄,2,"CMY (Cyan, Magenta, Yellow) 。印刷などに使われる減法混色。"
27,色の三原色すべてを合わせると（理想的には）何色になるか。,白,黒,灰色,茶色,2,減法混色では、すべてを混ぜると（理論上）黒になる。
28,元の情報を忠実に再現するためには、標本化の精度や量子化のレベルをどうする必要があるか。,高くする（細かくする）,低くする（粗くする）,変えない,不規則にする,1,精度を上げる（サンプリング周波数を上げる、量子化ビット数を増やす）必要がある。
29,標本化精度を上げたり、量子化レベルを細かく（高く）したとき、データ量はどうなるか。,大きくなる,小さくなる,変わらない,不安定になる,1,情報量が増えるため、データ量は大きくなる。
30,圧縮する前の状態へ完全に戻すことができる圧縮方法を何と呼ぶか。,可逆圧縮,不可逆圧縮,最適化,符号化,1,"可逆圧縮はデータを完全に復元できる。例：ZIP, PNG。"
31,圧縮前へ完全には戻せないが、効率よく圧縮できる方法を何と呼ぶか。,可逆圧縮,不可逆圧縮,最適化,符号化,2,"不可逆圧縮は一部の情報を破棄して圧縮率を高める。例：JPEG, MP3。"
32,情報デザインの手法で、要素どうしの関係性を分かりやすく整理して結び付けていくことを何と呼ぶか。,構造化,可視化,要約,分類,1,関係性や階層を整理すること。
33,情報デザインの手法で、本来見えないものを見える状態にすることを何と呼ぶか。,構造化,可視化,要約,抽象化,2,グラフや図で情報を視覚的に表現すること。
34,情報デザインの手法で、大量の情報から大事なところだけ抜き出すことを何と呼ぶか。,構造化,可視化,要約,統合,3,要点を抽出して情報を簡潔にすること。
35,「障害や高齢などによる障壁を取り除き、誰もが支障なく利用・参加できるようにする」考え方はどれか。,バリアフリー,ユニバーサルデザイン,アクセシビリティ,ユーザビリティ,1,バリアフリーは「障壁の除去」を指す。
36,「年齢・能力・言語・文化に関わらず、初めから誰もが使いやすいように設計する」考え方はどれか。,バリアフリー,ユニバーサルデザイン,アクセシビリティ,ユーザビリティ,2,ユニバーサルデザインは「最初からの設計」を指す。
37,「情報やサービス、施設への到達しやすさ・利用可能性の度合い」を指す用語はどれか。,バリアフリー,ユニバーサルデザイン,アクセシビリティ,ユーザビDリティ,3,アクセシビリティは「アクセスのしやすさ」を指す。
38,「製品やシステムの使いやすさ（効率性・有効性・満足度など）」を指す用語はどれか。,バリアフリー,ユニバーサルデザイン,アクセシビリティ,ユーザビリティ,4,ユーザビリティは「（特定の目的を達成するための）使いやすさ」を指す。
39,テーマから枝を伸ばしていくように作成し、イメージを膨らませながら整理できる図はどれか。,KJ法,マインドマップ,ブレーンストーミング,プレゼンテーション,2,マインドマップは中心から放射状にアイデアを展開する図法。
40,質より量を重視し、自由に発言し他人の意見を否定しないことを原則とするアイデア出しの手法はどれか。,KJ法,マインドマップ,ブレーンストーミング,プレゼンテーション,3,ブレーンストーミング（ブレスト）の基本的なルール。
41,19世紀までに発明されたメディアとして、適切で「ない」ものはどれか。,手紙,電話,ラジオ,新聞,3,"ラジオ（やテレビ）は20世紀に普及したメディアです。"
42,20世紀に普及し、遠方での出来事を即時に音声や映像で知ることを可能にしたメディアはどれか。,ラジオ・テレビ,新聞・雑誌,インターネット,手紙・書籍,1,"ラジオとテレビの普及によるものです。"
43,インターネットが「いつでもどこでも」利用できるようになった、主な普及要因はどれか。,スマートフォン・タブレット,ラジオ・テレビ,デスクトップPC,新聞・雑誌,1,"スマートフォンやタブレット端末の普及によります。"
44,ネットコミュニケーションの特徴として「誤っている」ものはどれか。,情報はデジタル記録として残る,一度公開すると完全な消去は困難である,匿名性を利用できる,記録は一切残らないため安全である,4,"送受信の記録（ログ）は残るため、匿名であっても発信者の特定は可能です。"
45,インターネット上で同じ意見を持つ人が集まりやすく、その結果、意見が極端で排他的になる現象を何と呼ぶか。,サイバーカスケード,ユニバーサルデザイン,アクセシビリティ,ユーザインタフェース,1,"サイバーカスケードと呼ばれる現象です。"
46,デジタルデータの利点として「適切でない」ものはどれか。,編集や加工が容易である,複製が容易である,複数のメディアを組み合わせられる,一度作成すると編集や複製が難しい,4,"編集・複製・伝送が容易なことがデジタルデータの利点です。"
47,10進数の15を2進数で表せ。,1111,1011,1110,1001,1,"8+4+2+1 = 15"
48,10進数の20を2進数で表せ。,10100,10010,11100,10110,1,"16+4 = 20"
49,アナログデータをデジタルデータへ変換する際の、正しい処理順序はどれか。,標本化→量子化→符号化,量子化→標本化→符号化,符号化→量子化→標本化,標本化→符号化→量子化,1,"標本化（区切る）→量子化（数値化）→符号化（2進数化）の順です。"
50,画像において、分割する細かさの度合い（例：dpi）を指す用語はどれか。,解像度,階調,量子化ビット数,標本化周波数,1,"解像度が高いほど、画像は鮮明になります。"
53,情報デザインの「抽象化」に分類される具体例はどれか。,アイコン・ピクトグラム,グラフ・図や表,階層・順序,フローチャート,1,"抽象化は、特徴を単純化して表現します（例：非常口のマーク）。"
54,情報デザインの「可視化」に分類される具体例はどれか。,グラフ・図や表,アイコン・ピクトグラム,階層・順序,路線図,1,"可視化は、見えない情報（数値など）を見える形にします。"
55,情報デザインの「構造化」に分類される具体例はどれか。,階層・順序・分岐,グラフ・図や表,アイコン・ピクトグラム,インフォグラフィックス,1,"構造化は、情報の関係性を整理します（例：組織図）。"
56,年齢や能力によらず「誰もが利用できるように」初めから設計されたデザインを何と呼ぶか。,ユニバーサルデザイン,バリアフリー,アクセシビリティ,ユーザビリティ,1,"ユニバーサルデザインの定義です。"
57,幅広い人々が「使えるかどうかの尺度」であり、「使える状態にする」ことが目的の用語はどれか。,アクセシビリティ,ユーザビリティ,ユニバーサルデザイン,バリアフリー,1,"アクセシビリティ（到達しやすさ）の目的です。"
58,利用者が「使いやすいか、分かりやすいかの尺度」であり、「使いやすい状態にする」ことが目的の用語はどれか。,ユーザビリティ,アクセシビリティ,ユニバーサルデザイン,バリアフリー,1,"ユーザビリティ（使いやすさ）の目的です。"
59,タッチパネルやマウス、画面デザインなど、人間と機器が情報をやり取りする仕組みを何と呼ぶか。,ユーザインタフェース,サイバーカスケード,ピクトグラム,インフォグラフィックス,1,"User Interface (UI) とも呼ばれます。"
