ID	問題文	選択肢1	選択肢2	選択肢3	選択肢4	選択肢5	正解番号	解説
41	'標準価格（C4）'から'値引額（D4）'を引いた金額の100分の1を'ポイント'として求める式を選びなさい。	0	0	0	0		1	引き算を先に行う必要があるため、括弧で囲んで優先順位を指定してから100で割ります。
42	C列の4行目から10行目（C4〜C10）までの合計を求める正しい計算式を選びなさい。	0	#VALUE!	#DIV/0!	#VALUE!		1	合計を求めるSUM関数を用い、範囲は':（コロン）'で繋いで指定します。
43	C列の4行目から10行目（C4〜C10）までの平均を求める正しい計算式を選びなさい。	#DIV/0!	0	#VALUE!	0		1	平均を求めるにはAVERAGE関数を使用し、引数にセル範囲を指定します。
44	ある表計算ソフトで、C2セルに '=A2+B2' という式が入力されている。このセルを下方向のC3セルへコピーした際、C3に入る式を選びなさい。	0	0	0	0		1	相対参照の性質により、コピー先の行（3行目）に合わせて、参照している行番号が自動的に1つ増えます。
45	セルC2の式 '=A2+B2' を2行下のC4へコピーしたとき、C4に入る式を選びなさい。	0	0	0	0		1	相対参照により、コピー先の行（4行目）に応じて行番号が自動的に2つ増えます。
46	表のタイトル（表題）を'表の中央'に配置するために使用する適切な操作はどれか。	セルを結合して中央揃え	左揃え	右揃え	均等割付		1	表題を表の列幅全体の中央に配置するため'セルを結合して中央揃え'を使用します。
47	数値に'3桁ごとにコンマ'をつけるために使用するアイコンはどれか。	桁区切りスタイル	パーセントスタイル	表示桁数を増やす	表示桁数を減らす		1	数字データを見やすくするため、千の位ごとにカンマを挿入する書式設定です。
48	表の'外枠を太線'にするために使用するアイコンの機能分類はどれか。	外枠太罫線	フォントの色	塗りつぶしの色	格子		1	表の境界を強調するため、罫線メニューから'外枠太罫線'を選択します。
49	表計算において'数字（数値データ）'を配置する際の標準的な位置はどれか。	右揃え	左揃え	中央揃え	均等割付		1	一般的な表計算のルールとして、数値データは桁を揃えるために右揃えで配置します。
50	小数点以下の表示桁数を'増やす'ために使用するアイコンの機能はどれか。	表示桁数を増やす	表示桁数を減らす	桁区切りスタイル	パーセントスタイル		1	ボタンを押すたびに小数点以下の表示桁数が1つ増え、より詳細な数値を表示します。
51	表計算において'文字データ'を配置する際の標準的な位置はどれか。	左揃え	中央揃え	右揃え	均等割付		1	顧客名や商品名などの文字列データは、読みやすさのために左揃えで配置します。
52	セル範囲の合計を自動的に求めるために使用する関数の名称はどれか。	SUM	AVERAGE	MAX	MIN		1	指定したセル範囲内の数値をすべて合計する関数はSUMです。
53	セル範囲の平均を自動的に求めるために使用する関数の名称はどれか。	AVERAGE	COUNT	SUM	IF		1	指定したセル範囲内の数値の平均値を算出する関数はAVERAGEです。
54	家電販売一覧表で'値引額（標準価格×13%）'を求めるための正しい計算式はどれか。	0	0.13	-0.13	0		1	標準価格（C4）に対して13%の割合を掛けるため、アスタリスクを用いた計算を行います。
55	家電販売一覧表で'請求金額（標準価格−値引額＋リサイクル料）'を求めるための正しい計算式はどれか。	0	0	0	0		1	標準価格から値引額を引きリサイクル料を加算します。四則演算の優先順位通りに左から計算されます。
56	家電販売一覧表で'ポイント（(標準価格−値引額)÷100）'を求めるための正しい計算式はどれか。	0	0	0	0		1	引き算を割り算より先に実行させる必要があるため、括弧を使用して計算順序を制御します。
57	家電販売一覧表の標準価格（C4からC10）の合計を求める関数式はどれか。	0	#DIV/0!	#NAME?	0		1	合計を求めるSUM関数を用い、引数には開始セルと終了セルをコロンで繋いだ範囲を指定します。
58	家電販売一覧表の標準価格（C4からC10）の平均を求める関数式はどれか。	#DIV/0!	0	#NAME?	#NAME?		1	平均を求めるAVERAGE関数を用い、計算対象となるセル範囲を指定します。
59	セルの右下にあるフィルハンドルをドラッグして、数式や連続データをコピーする機能の名前は何か。	オートフィル	コピー＆ペースト	ズームスライダー	クイックアクセス		1	数式を隣接するセルへ連続的にコピーし、参照を自動調整する機能をオートフィルと呼びます。
60	セルC2に '=A2+B2' という数式が入っている。これをオートフィルで右隣のD2セルへコピーしたとき、D2に入る数式はどう変化するか。	0	0	0	0		1	右方向にコピーすると、相対参照によって数式内の列のアルファベットが1つ進み、'=B2+C2'となります。
61	オートフィル等でセルをコピーした際に、移動した方向や距離に合わせて参照先のセル番地が自動的に変化する性質を何と呼ぶか。	相対参照	絶対参照	複合参照	自動更新		1	数式のコピー時に位置関係を維持したまま参照先をずらす仕組みを'相対参照'と呼びます。
62	表計算ソフトの画面最上部にあり、ファイル名やソフトウェア名が表示される場所を何というか。	タイトルバー	ステータスバー	メニューバー	ツールバー		1	現在開いているファイル名とアプリ名が確認できる最上部の領域です。
63	'保存'や'元に戻す'など、頻繁に利用するコマンドのボタンを登録して表示させる領域を何というか。	クイックアクセスツールバー	リボン	数式バー	ナビゲーター		1	作業効率を高めるためにカスタマイズ可能な画面左上のボタン配置エリアです。
64	画面上部にあり、タブの切り替えによって多様なコマンドボタンが表示される帯状の領域を何というか。	リボン	タイトルバー	数式バー	スクロールバー		1	機能を分類ごとにまとめた操作メニューの主要部分です。
65	現在選択されているセルの内容や、入力中の数式を確認・編集する場所を何というか。	数式バー	タイトルバー	ステータスバー	検索バー		1	セル内の生データや計算式を詳細に表示・編集するためのバーです。
66	表計算シートの上部に横方向に並んでいる'A, B, C...'というアルファベットの部分を何というか。	列番号	行番号	セル	ラベル		1	シート内の垂直方向の列を識別するための符号です。
67	表計算シート内の一つ一つのマス目のことを何というか。	セル	ボックス	ブロック	シート		1	表を構成し、データの入力や計算を行うための最小単位となる区画です。
68	表計算シートの左側に縦方向に並んでいる'1, 2, 3...'という数字の部分を何というか。	行番号	列番号	ページ番号	インデックス		1	シート内の水平方向の行を識別するための番号です。
69	画面の表示倍率を拡大・縮小し、作業しやすい大きさに調整するためのスライダーを何というか。	ズームスライダー	スクロールバー	数式バー	タイトルバー		1	画面右下にあり、表示の拡大率を変更する操作部分です。
70	画面内に収まりきらない部分を表示するために、画面を上下左右に動かすためのパーツを何というか。	スクロールバー	ズームスライダー	タイトルバー	リボン		1	見えていない範囲へ表示位置を移動させるためのバーです。
71	表計算ソフトウェアの主な使い方のうち、数値を元に棒グラフや円グラフなどを作成する作業はどれか。	グラフの作成	表の作成	計算による集計	データベースの作成		1	数値を視覚化して傾向や構成比を把握しやすくする基本機能です。
72	表計算ソフトウェアで、売上などのデータを整理し、格子状の表にまとめる作業を何というか。	表の作成	グラフの作成	計算による集計	データベースの作成		1	文字や数値を規則正しく配置して一覧性を持たせる作業です。
73	表計算ソフトウェアで、関数などを用いて合計値や平均値を自動的に算出する作業を何というか。	計算による集計	表の作成	グラフの作成	データベースの作成		1	入力した数値データに対して計算を行い、結果を求める機能です。
74	表計算ソフトウェアで、氏名や住所などの大量のデータを蓄積し、並べ替えや検索ができる状態で管理する作業はどれか。	データベースの作成	表の作成	グラフの作成	計算による集計		1	情報を整理された基盤として蓄積・抽出・分析する活用方法です。
75	選択したセルや範囲を'コピー'するためのショートカットキーはどれか。	Ctrl + C	Ctrl + X	Ctrl + V	Ctrl + Z		1	Copyの頭文字'C'を用いた操作で、元のデータを残したまま複製します。
76	選択したセルや範囲を'切り取る'ためのショートカットキーはどれか。	Ctrl + X	Ctrl + C	Ctrl + V	Ctrl + Z		1	ハサミの形に見立てた'X'を用いた操作で、データを元の場所から移動させる際に使用します。
77	コピーまたは切り取った内容を別のセルに'貼り付ける'ためのショートカットキーはどれか。	Ctrl + V	Ctrl + C	Ctrl + X	Ctrl + Z		1	Pasteに対応する操作で、コピーや切り取りをした後に実行します。
78	直前に行った入力や書式設定などの操作を'元に戻す（キャンセルする）'ためのショートカットキーはどれか。	Ctrl + Z	Ctrl + C	Ctrl + X	Ctrl + V		1	間違えた操作を一つ前の状態に復元する際に頻繁に使用される重要なコマンドです。
79	表計算で使用する計算記号のうち、'たし算（加算）'を意味する記号はどれか。	＋	－	＊	／		1	数値同士を加算する際に用いるプラス記号です。
80	表計算で使用する計算記号のうち、'ひき算（減算）'を意味する記号はどれか。	－	＋	＊	／		1	数値同士を減算する際に用いるマイナス記号です。
81	表計算で使用する計算記号のうち、'かけ算（乗算）'を意味する記号はどれか。	＊	＋	－	／		1	コンピュータの計算では'×'ではなくアスタリスク記号を用います。
82	表計算で使用する計算記号のうち、'わり算（除算）'を意味する記号はどれか。	／	＋	－	＊		1	コンピュータの計算では'÷'ではなくスラッシュ記号を用います。
83	かけ算に使用される記号'＊'の読み方として正しいものはどれか。	アスタリスク	スラッシュ	プラス	マイナス		1	かけ算記号'＊'は'アスタリスク'と読みます。
84	わり算に使用される記号'／'の読み方として正しいものはどれか。	スラッシュ	アスタリスク	プラス	マイナス		1	わり算記号'／'は'スラッシュ'と読みます。
85	シートの中のマス目一つ一つのことで、文字・数値・計算式などを入力する場所を何というか。	セル	シート	ブック	レコード		1	列と行が交差する、表計算における最小のデータ保持単位です。
86	現在選択されており、枠が太く強調表示されている'入力可能な状態のセル'を何というか。	アクティブセル	メインセル	選択セル	フォーカスセル		1	現在操作の対象となっているセルの名称です。
87	エクセルで扱うデータのうち、計算に使用することができないデータ型を何というか。	文字	数値				1	名前や商品名などの文字列は、そのままでは計算の対象にできません。
89	表計算ソフトウェアで計算式や関数を入力する際、必ず'先頭'に入力しなければならない記号はどれか。	＝	＋	＊	／		1	先頭に'＝'を入力することで、ソフトウェアは続く内容を式として認識します。
90	セルに'123'と入力したが、これが'数値データ'ではなく'文字データ'として認識されている場合、どのような問題が発生するか。	計算の対象として認識されず正しく集計できなくなる	自動的に数値に変換されて合計される	セルがエラー表示になりファイルが保存できなくなる			1	文字データとして扱われている数字は、関数などの計算対象外となります。
