ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号,解説
12,ある集団全体を調査したいが困難な場合に、一部を取り出して調べる調査は何。 ,全数調査,標本調査,テキストマイニング,単純無作為抽出法,2,集団の一部（標本）を調べるため「標本調査」。
13,標本調査に対して、ある集団全体を調査することを何と呼ぶか。,全数調査,標本調査,層別抽出法,ヒストグラム,1,「全数調査」と呼びます。例：国勢調査。
14,標本の抽出方法のうち、集団からランダムに抽出する方法を何と呼ぶか。,単純無作為抽出法,層別抽出法,全数調査,外れ値,1,「単純無作為抽出法」と呼びます。
15,集団をいくつかの層に分け、各層から均等に抽出する方法を何と呼ぶか。,単純無作為抽出法,層別抽出法,全数調査,欠損値,2,「層別抽出法」と呼びます。
16,書き忘れなどによって数値が欠けているデータを何と呼ぶか。,外れ値,欠損値,ヒストグラム,標本調査,2,「欠損値」と呼びます。
17,他の値と比べて極端に大きい、または小さい値を何と呼ぶか。,外れ値,欠損値,テキストマイニング,全数調査,1,「外れ値」と呼びます。
18,"データの分布を可視化するため、区間ごとの個数を棒グラフで表したものはどれか。",ヒストグラム,散布図,箱ひげ図,デンドログラム,1,「ヒストグラム（度数分布図）」と呼びます。
19,文章を単語で区切り、出現回数や傾向を解析する手法を何と呼ぶか。,テキストマイニング,データマイニング,ヒストグラム,欠損値,1,「テキストマイニング」と呼びます。
20,1つの説明変数で、1つの目的変数を予測する分析手法を何と呼ぶか。,単回帰分析,重回帰分析,主成分分析,k-means法,1,説明変数が1つのため「単回帰分析」。
21,複数の説明変数で、1つの目的変数を予測する分析手法を何と呼ぶか。,単回帰分析,重回帰分析,主成分分析,2値分類,2,説明変数が複数のため「重回帰分析」。
22,"以下のPythonコードを実行した結果はどれか。<br><code>print('Hello, Hibiki')</code>",Hello, Hibiki,'Hello, Hibiki',エラーになる,Hello Hibiki,1,文字列がそのまま出力されます。
23,"以下のPythonコードを実行した結果はどれか。<br><code>print(100+200)</code>",300,100+200,'100+200',エラーになる,1,計算結果の 300 が出力されます。
24,"以下のPythonコードを実行した結果はどれか。<br><code>print('10*4')</code>",40,10*4,'10*4',エラーになる,2,文字列の 10*4 がそのまま出力されます。
25,"以下のPythonコードを実行した結果はどれか。<br><code>print(15/2)</code>",7,7.5,7.0,8,2,Pythonの / 演算子は小数を計算するため 7.5 です。
26,"以下のPythonコードを実行した結果はどれか。<br><code>a = 5<br>b = 7<br>print(a+b)</code>",12,a+b,'a+b',57,1,変数a(5)とb(7)の和、12 が出力されます。
27,"以下のPythonコードを実行した結果はどれか。<br><code>name = 'Hiroki'<br>print(name, 'さんこんにちは')</code>",Hiroki さんこんにちは,'Hiroki' 'さんこんにちは',エラーになる,Hirokiさんこんにちは,1,要素はスペース区切りで連結されます。
28,"以下のPythonコードを実行した結果はどれか。<br><code>sum = 0<br>for i in range(10):<br>&nbsp;&nbsp;sum += i<br>print(sum)</code>",55,45,10,9,2,range(10)は0から9までのため、合計は45です。
29,"以下のPythonコードを実行した結果はどれか。<br><code>a = 10<br>if a%2 == 0: print('偶数')<br>else: print('奇数')</code>",偶数,奇数,エラーになる,10,1,10を2で割った余りは0なので「偶数」が出力されます。
30,Pythonの比較演算子で、「aとbは等しい」を意味する記号はどれか。,=,==,!=,<=,2,比較演算子は == です。
31,天候（1:晴 2:曇 3:雨）のように順序や大きさに意味がないデータの尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,1,単なる分類であり、大小関係がないため「名義尺度」。
32,徒競争の順位（1位, 2位, 3位）のように間隔に意味がないデータの尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,2,順序には意味があるが間隔が一定でないため「順序尺度」。
33,体温（℃）のように数値の差が等間隔で意味を持つデータの尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,3,0℃が「無」を意味しない（比率に意味がない）ため「間隔尺度」。
34,100m走のタイム（秒）のように比率にも意味があるデータの尺度はどれか。,名義尺度,順序尺度,間隔尺度,比例尺度,4,0秒を基準として比率が計算できるため「比例尺度」。
35,DBMSが持つデータの一貫性や整合性を保つための機能はどれか。,整合性管理,セキュリティ,排他制御,障害回復,1,データの矛盾を防ぐ「整合性管理」機能。
36,DBMSが持つ不正アクセスやデータ改ざんを防ぐための機能はどれか。,整合性管理,セキュリティ,排他制御,障害回復,2,アクセス権限などを管理する「セキュリティ」機能。
37,複数ユーザーが同時に同じデータを更新する際の矛盾を防ぐ機能はどれか。,整合性管理,セキュリティ,排他制御,障害回復,3,同時アクセスを制御する「排他制御」機能。
38,関係データベースにおいて「行」全体を指す用語はどれか。,テーブル,項目名,レコード,フィールド,3,1件分のデータを「レコード」と呼びます。
39,関係データベースにおいて「列」の名前を指す用語はどれか。,テーブル,項目名,レコード,フィールド,2,属性を示す「項目名」（フィールド名）です。
40,関係データベースにおいて「表」全体を指す用語はどれか。,テーブル,項目名,レコード,フィールド,1,表形式のデータを「テーブル」と呼びます。
41,SQLで条件を満たすデータ（レコード）だけを抽出する操作はどれか。,選択,射影,結合,正規化,1,行の絞り込みは「選択」。
42,SQLで表からいくつかの項目（列）を取り出して新たな表を作る操作はどれか。,選択,射影,結合,正規化,2,列の絞り込みは「射影」。
43,相関関係・時間的順序・他要因の排除の3条件は何を立証するための規準か。,因果関係,相関関係,クラスタリング,回帰分析,1,これらが揃って初めて「因果関係」があると言えます。
44,ラベルなしデータをグループ分けする手法を何と呼ぶか。,クラスタリング,回帰分析,テキストマイニング,正規化,1,似たもの同士をまとめる「クラスタリング」。
45,Pythonの演算子で「乗算（掛け算）」を表す記号はどれか。,* ,x,^,** ,1,乗算は * を使います。
